layer_index,mean_abs_weight,max_abs_weight,sum_abs_weight
18,0.004225360941489018,0.012850633715769506,2.9450765762178452
0,0.0038466918216544274,0.013288186148270244,2.681144199693136
5,0.0035445533963782464,0.010855151390587618,2.4705537172756378
19,0.0032965915249848032,0.02482305477402656,2.297724292914408
20,0.003130542486554258,0.014068298429091942,2.181988113128318
14,0.002499814033967948,0.01304081976343281,1.74237038167566
26,0.0024840674187186188,0.010521144102070631,1.7313949908468773
4,0.0024285269283176487,0.014290236814985645,1.6926832690374012
1,0.001841565212558202,0.009597598532234335,1.2835709531530668
24,0.0018379942436485524,0.011481591624094203,1.281081987823041
17,0.0018279636732208425,0.013094010367792648,1.2740906802349272
7,0.0017752184719147155,0.005389872760879113,1.2373272749245567
23,0.0017676609240610405,0.010013086001971233,1.2320596640705452
8,0.0017449539384022858,0.009477252341035967,1.2162328950663932
22,0.0017357690728183985,0.011160462162330919,1.2098310437544237
21,0.001733135197988133,0.009025640424267713,1.2079952329977288
11,0.0016771313425540714,0.011518635071958262,1.1689605457601877
9,0.0016233845421620686,0.00431647307707587,1.1314990258869617
16,0.001612904891522863,0.016066841513271958,1.1241947093914355
25,0.0015799007992074751,0.02374380978769753,1.10119085704761
15,0.0015561041904204485,0.020252407799325703,1.0846046207230526
13,0.0015333052861993572,0.00900155445352665,1.068713784480952
10,0.0013823927274981696,0.007294068647170309,0.9635277310662242
3,0.0013763849665513416,0.011324524559045658,0.959340321686285
12,0.0012364658610449556,0.01068314871230153,0.8618167051483341
2,0.0012283954461498401,0.01603722925983724,0.8561916259664385
6,0.0010284230211314949,0.006633684222553099,0.716810845728652
27,0.000987680611214613,0.009649637110292951,0.6884133860165853
